Central_memory,CORO7,ATM,GMEB2,SNRPN,ADSL,ITK,TFAP4,NAA16,LY9,CYLD,GIMAP4,PURA,DVL1,RPP38,LRIG2,IL7R,CDKN2AIP,APBB1,IPCEF1,CD247,CD40LG,TRADD,CD3E,TPR,ARID5B,UBASH3A,NCK1,SPTAN1,GPR171,CD5,,,,,
Effector_memory,APBA3,CD160,CD2,CD8B,CDK10,CDKN2AIP,CHST12,COG4,CX3CR1,DHX16,EWSR1,GIMAP6,GPR171,GZMK,HMOX2,IKZF3,ITK,KLRD1,KLRG1,MAPKAPK5,MORC2,MRFAP1L1,PLCG1,PSMC5,RNF167,SBF1,SF3B2,SLAMF1,TBCD,USP47,ZFYVE9,ZNF549,,,
NKT,CASP5,DOLK,GMIP,PRR5L,SGCA,SLAMF1,TCOF1,TGFBR2,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIT,CD8A,CD8B,CERK,FLT4,TBC1D31,DKK3,GPR171,NR1D1,SLAMF1,TC2N,,,,,,,,,,,,,,,,,,,,,,,,,
DC,BLVRB,C1QA,C1QB,CSF1R,CXCR3,FGL2,GZMB,IL21R,KCNA5,KCNC3,KCTD5,LILRB4,LMAN2L,NFKB1,PLD2,PTCRA,PTGIR,SIGLEC1,SLAMF8,SLC15A3,SYT17,VAV2,CA8,CALY,CRTAM,CYP4F3,GATA3,ITIH4,PRR5L,ST8SIA1,TNFRSF10C,,,,
Bcell,AFTPH,AHSP,ANXA3,CNOT1,HLA-DPB1,HLA-DQA1,LSM6,MEFV,MS4A1,NMUR1,PADI4,PYGM,STRN4,TRAF3,TCL6,BLK,WNT16,CD37,CD19,HRH4,CA1,COL19A1,GNG3,PLIN1,SGCA,CD79A,CD79B,,,,,,,,
Monocyte,IL7R,APOC3,ADCY8,CLCA4,CPA2,DPP6,HSPB6,KNG1,KLRK1,GZMH,KLRB1,SGCA,CA1,TLR8,CYBB,IGSF6,KLRF1,CYP4F3,CLEC10A,FOLR2,LTBR,MAP3K2,NUP214,OSBPL11,RTN3,SERP1,TBK1,SOCS3,,,,,,,
Macrophage,ARPC4,ATP6V0E1,BPI,C1QA,C1QB,CAMP,CHIT1,CLEC5A,CLIP1,CSF1R,CYBB,FGR,GGA1,GRB2,IFNAR1,IGSF6,IL17RA,LILRA2,MARCO,MMP8,MS4A6A,OTUD4,PSME1,RENBP,,,,,,,,,,,
NK,DNAJB14,IL18RAP,IL2RB,KIR2DL3,KIR3DL2,NCR1,NCR3,PSMD4,SPON2,XCL1,C1QB,CALY,CD37,CLEC10A,CRTAM,CSF2RB,CX3CR1,GZMB,IL7R,KNG1,MAN1C1,PRR5L,SYT17,,,,,,,,,,,,
Neutrophil,IL18RAP,BMX,BTNL8,CASP5,CLC,CXCR1,CXCR2,FCGR3B,FPR2,HSPA6,MEFV,PADI4,S100A12,TREML2,TRPM6,SIGLEC5,CREB5,ALPL,AATK,CEACAM3,CSF2RB,CSF3R,FBXO38,MAK,PAK2,TOP1,UBXN2B,VNN3,,,,,,,
Gamma_delta,KLRG1,CYP4A11,CCR5,GZMH,ACD,CHST12,GZMA,GZMB,LAG3,NKG7,PRF1,PVRIG,TINF2,ZMAT5,C1orf61,GNLY,LCP2,PSTPIP1,PTPN4,RALY,TAB2,TDP1,,,,,,,,,,,,,
CD4_T,SELL,NT5E,ITK,TRMT2B,AAK1,CD4,GPR183,KLHL3,CCR4,ITIH4,DLEC1,ZAP70,PLXDC1,CD40LG,LAX1,TNFRSF4,GPR171,LY9,NCK2,PLCG1,,,,,,,,,,,,,,,
CD8_T,CD27,CD8B,CLUAP1,CRTAM,FKTN,KLRG1,LY9,PLCG1,RING1,SF1,SIRPG,TSPAN32,ARHGEF1,EEF1D,PPP1R2,CTSW,FBXW4,ZNF611,GZMH,CD8A,TTN,CD7,CX3CR1,,,,,,,,,,,,
